seed,model,accuracy,macro_f1,best_classifier_epoch
42,raw,0.9435240964,0.8536166876,12
42,v4r,0.9386295181,0.8427117179,10
42,v5r,0.9638554217,0.9071615486,11
13,raw,0.9450301205,0.8465611771,12
13,v4r,0.9397590361,0.8386935573,9
13,v5r,0.9491716867,0.8603299973,12
37,raw,0.9213102410,0.8355384585,11
37,v4r,0.8957078313,0.7877945695,11
37,v5r,0.9254518072,0.8196597781,7
101,raw,0.9107680723,0.8205655456,11
101,v4r,0.9269578313,0.8389505755,10
101,v5r,0.9371234940,0.8566546106,10
202,raw,0.9435240964,0.8630098794,10
202,v4r,0.9258283133,0.8265843659,9
202,v5r,0.9390060241,0.8506342677,9
