board,material,model,accuracy,macro_f1
C01,carbon,raw,0.7587301587,0.4460310206
C01,carbon,v4r,0.8400793651,0.4535321296
C01,carbon,v5r,0.9107142857,0.5556307675
C02,carbon,raw,0.7920333488,0.3815287334
C02,carbon,v4r,0.7165354331,0.2774917648
C02,carbon,v5r,0.6313107920,0.2271506359
C03,carbon,raw,0.7990654206,0.4166702348
C03,carbon,v4r,0.7830440587,0.3431026851
C03,carbon,v5r,0.7296395194,0.2565470551
W01,wood,raw,0.8279047156,0.6552821578
W01,wood,v4r,0.8974234322,0.6903577848
W01,wood,v5r,0.9047156053,0.6400399386
W02,wood,raw,0.9120038259,0.5721787274
W02,wood,v4r,0.8737446198,0.3461023951
W02,wood,v5r,0.8952654232,0.4915372967
W03,wood,raw,0.8986241854,0.5104775147
W03,wood,v4r,0.8653149891,0.5265006925
W03,wood,v5r,0.9210716872,0.6374511948
